feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile
ret_5d_rank,-0.02859000623170871,0.02859000623170871,0.5333333333333333,0.0005691619482902893,0.0009724639499867697,0.48333333333333334,-0.041008351606675694,0.002154308617234469,-1,120,0.015248003323577978,0.015248003323577978,0.0005691619482902893,0.5440153383690457,general
excess_ret_5d,-0.02859000623170871,0.02859000623170871,0.5333333333333333,0.0005691619482902893,0.0009724639499867697,0.48333333333333334,-0.041008351606675694,0.002154308617234469,-1,120,0.015248003323577978,0.015248003323577978,0.0005691619482902893,0.5440153383690457,general
ret_5d,-0.02859000623170871,0.02859000623170871,0.5333333333333333,0.0005691619482902893,0.0009724639499867697,0.48333333333333334,-0.041008351606675694,0.002154308617234469,-1,120,0.015248003323577978,0.015248003323577978,0.0005691619482902893,0.5440153383690457,general
excess_ret_5d_rank,-0.02859000623170871,0.02859000623170871,0.5333333333333333,0.0005691619482902893,0.0009724639499867697,0.48333333333333334,-0.041008351606675694,0.002154308617234469,-1,120,0.015248003323577978,0.015248003323577978,0.0005691619482902893,0.5440153383690457,general
ret_5d_zscore,-0.02859000623170871,0.02859000623170871,0.5333333333333333,0.0005691619482902893,0.0009724639499867697,0.48333333333333334,-0.041008351606675694,0.002154308617234469,-1,120,0.015248003323577978,0.015248003323577978,0.0005691619482902893,0.5440153383690457,general
deducted_net_profit_growth_yoy_zscore,0.005921299654195934,0.005921299654195934,0.5083333333333333,0.003366028778255592,0.001871465317354415,0.6333333333333333,-0.020795377003293942,0.001503006012024048,1,120,0.003009993990882933,0.003009993990882933,0.003366028778255592,0.5424138019629002,general
deducted_net_profit_growth_yoy,0.005921299654195934,0.005921299654195934,0.5083333333333333,0.003366028778255592,0.001871465317354415,0.6333333333333333,-0.020795377003293942,0.001503006012024048,1,120,0.003009993990882933,0.003009993990882933,0.003366028778255592,0.5424138019629002,general
deducted_net_profit_growth_yoy_rank,0.005921299654195934,0.005921299654195934,0.5083333333333333,0.003366028778255592,0.001871465317354415,0.6333333333333333,-0.020795377003293942,0.001503006012024048,1,120,0.003009993990882933,0.003009993990882933,0.003366028778255592,0.5424138019629002,general
book_to_price,0.04595692607394002,0.04595692607394002,0.5916666666666667,-0.001725892441103931,-0.0014606837476539435,0.5,-0.05181203534679764,0.0,1,120,0.027191181260414515,0.027191181260414515,-0.001725892441103931,0.5402564102564102,general
cash_flow_per_share_to_eps,-0.0054667328110903825,0.0054667328110903825,0.5,0.0035734543504137082,0.0058794432450811895,0.5333333333333333,-0.021410944143622025,0.002004008016032064,-1,120,0.0027333664055451913,0.0027333664055451913,0.0035734543504137082,0.5396713940701916,general
