feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile,group,is_candidate,group_score,combined_score
roe_ttm,0.027017497000050707,0.027017497000050707,0.6,-0.00010012769289029834,-0.0001993008583313261,0.49166666666666664,-0.03405522063052406,0.0036907147628590514,1,120,0.016210498200030423,0.016210498200030423,-0.00010012769289029834,0.5523232362160218,general,quality,True,0.18181818181818182,0.4596969726165618
roe_ttm_zscore,0.027017497000050707,0.027017497000050707,0.6,-0.00010012769289029834,-0.0001993008583313261,0.49166666666666664,-0.03405522063052406,0.0036907147628590514,1,120,0.016210498200030423,0.016210498200030423,-0.00010012769289029834,0.5523232362160218,general,quality,True,0.18181818181818182,0.4596969726165618
pe_ttm_industry_rank,-0.022364444417721875,0.022364444417721875,0.7,0.001028895321019171,,0.5083333333333333,-0.02457481186667342,0.0,-1,120,0.015655111092405312,0.015655111092405312,0.001028895321019171,0.5816666666666667,general,valuation,True,0.09090909090909091,0.45897727272727273
earnings_yield_ttm,0.05451944644880271,0.05451944644880271,0.6416666666666667,0.000962708358529991,0.00015008890991991772,0.55,-0.05372064254692286,0.0,1,120,0.03498331147131507,0.03498331147131507,0.000962708358529991,0.5794871794871795,general,valuation,True,0.09090909090909091,0.45734265734265733
deducted_net_profit_growth_yoy_rank,0.005921299654195934,0.005921299654195934,0.5083333333333333,0.003366028778255592,0.001871465317354415,0.6333333333333333,-0.020795377003293942,0.001503006012024048,1,120,0.003009993990882933,0.003009993990882933,0.003366028778255592,0.5424138019629002,general,quality,True,0.18181818181818182,0.4522648969267206
deducted_net_profit_growth_yoy_zscore,0.005921299654195934,0.005921299654195934,0.5083333333333333,0.003366028778255592,0.001871465317354415,0.6333333333333333,-0.020795377003293942,0.001503006012024048,1,120,0.003009993990882933,0.003009993990882933,0.003366028778255592,0.5424138019629002,general,quality,True,0.18181818181818182,0.4522648969267206
deducted_net_profit_growth_yoy,0.005921299654195934,0.005921299654195934,0.5083333333333333,0.003366028778255592,0.001871465317354415,0.6333333333333333,-0.020795377003293942,0.001503006012024048,1,120,0.003009993990882933,0.003009993990882933,0.003366028778255592,0.5424138019629002,general,quality,True,0.18181818181818182,0.4522648969267206
cash_flow_per_share_to_eps_zscore,-0.0054667328110903825,0.0054667328110903825,0.5,0.0035734543504137082,0.0058794432450811895,0.5333333333333333,-0.021410944143622025,0.002004008016032064,-1,120,0.0027333664055451913,0.0027333664055451913,0.0035734543504137082,0.5396713940701916,general,quality,True,0.18181818181818182,0.45020809100718917
cash_flow_per_share_to_eps,-0.0054667328110903825,0.0054667328110903825,0.5,0.0035734543504137082,0.0058794432450811895,0.5333333333333333,-0.021410944143622025,0.002004008016032064,-1,120,0.0027333664055451913,0.0027333664055451913,0.0035734543504137082,0.5396713940701916,general,quality,True,0.18181818181818182,0.45020809100718917
cash_flow_per_share_to_eps_rank,-0.0054667328110903825,0.0054667328110903825,0.5,0.0035734543504137082,0.0058794432450811895,0.5333333333333333,-0.021410944143622025,0.002004008016032064,-1,120,0.0027333664055451913,0.0027333664055451913,0.0035734543504137082,0.5396713940701916,general,quality,True,0.18181818181818182,0.45020809100718917
