candidate,window_id,entry_date,start_date,end_date,trading_days,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,avg_top5_weight,n_with_notes,model0_weight,model1_weight,top_k,internal_max_weight,weighting,risk_filter_enabled,window_rank
stable_compact_current,w04,2026-02-13,2026-02-24,2026-03-02,5,0.0953144360875426,0.04322493233095415,0.052089503756588454,31,0.03253310000000001,0.16266550000000005,0,0.5465,0.4535,31,0.031758,rank,True,1.0
stable_extra_wide_capacity,w04,2026-02-13,2026-02-24,2026-03-02,5,0.07598563572374513,0.04322493233095415,0.03276070339279098,46,0.02173913043478261,0.10869565217391305,0,0.285,0.7150000000000001,46,0.03,equal,False,6.0
stable_medium_capacity,w04,2026-02-13,2026-02-24,2026-03-02,5,0.06545314334637879,0.04322493233095415,0.022228211015424645,93,0.01075268817204301,0.05376344086021505,0,0.7725,0.22750000000000004,93,0.03,equal,True,7.0
balanced_extra_wide_capacity,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.03651269853920838,-0.043755877285399314,0.007243178746190931,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,4.0
balanced_medium_current,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.046589530276086415,-0.043755877285399314,-0.002833652990687101,49,0.020408163265306124,0.10204081632653061,0,0.0,1.0,49,0.03,equal,True,7.0
economic_medium_capacity,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.0703182030363751,-0.043755877285399314,-0.02656232575097578,30,0.036000000004219955,0.18000000002109978,0,0.998,0.0020000000000000018,30,0.036,rank,True,12.0
recent_compact_capacity,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.05430193995854538,-0.043755877285399314,-0.010546062673146069,31,0.032972380952380954,0.16486190476190477,0,0.055,0.945,31,0.030758,rank,True,9.0
recent_compact_current,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.045670861528243886,-0.043755877285399314,-0.0019149842428445724,37,0.027027027027027035,0.13513513513513517,0,0.825,0.17500000000000004,37,0.03,equal,True,6.0
short_aggressive_compact_capacity,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.03188769368354455,-0.043755877285399314,0.011868183601854765,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,1.0
short_aggressive_medium_capacity,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.03188769368354455,-0.043755877285399314,0.011868183601854765,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,1.0
short_aggressive_wide_capacity,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.060706370682692384,-0.043755877285399314,-0.01695049339729307,30,0.036000000004219955,0.18000000002109978,0,0.5935,0.4065,30,0.036,rank,True,11.0
stable_compact_capacity,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.049982636478301506,-0.043755877285399314,-0.006226759192902193,33,0.030303030303030304,0.15151515151515152,0,0.978,0.02200000000000002,33,0.030303030303030304,equal,True,8.0
stable_compact_current,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.05652609797005594,-0.043755877285399314,-0.012770220684656629,31,0.03253310000000001,0.16266550000000005,0,0.5465,0.4535,31,0.031758,rank,True,10.0
stable_extra_wide_capacity,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.034340898659849246,-0.043755877285399314,0.009414978625550068,46,0.02173913043478261,0.10869565217391305,0,0.285,0.7150000000000001,46,0.03,equal,False,3.0
stable_medium_capacity,w05,2026-03-02,2026-03-03,2026-03-09,5,-0.0405146150846651,-0.043755877285399314,0.0032412622007342157,93,0.01075268817204301,0.05376344086021505,0,0.7725,0.22750000000000004,93,0.03,equal,True,5.0
balanced_extra_wide_capacity,w06,2026-03-09,2026-03-10,2026-03-16,5,-0.019918214437375355,-0.011393105437406015,-0.00852510899996934,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,4.0
balanced_medium_current,w06,2026-03-09,2026-03-10,2026-03-16,5,0.004849726313072226,-0.011393105437406015,0.01624283175047824,49,0.020408163265306124,0.10204081632653061,0,0.0,1.0,49,0.03,equal,True,1.0
economic_medium_capacity,w06,2026-03-09,2026-03-10,2026-03-16,5,-0.05044281547646402,-0.011393105437406015,-0.03904971003905801,30,0.036000000004219955,0.18000000002109978,0,0.998,0.0020000000000000018,30,0.036,rank,True,12.0
recent_compact_capacity,w06,2026-03-09,2026-03-10,2026-03-16,5,-0.03325343741927057,-0.011393105437406015,-0.02186033198186456,31,0.032972380952380954,0.16486190476190477,0,0.055,0.945,31,0.030758,rank,True,11.0
recent_compact_current,w06,2026-03-09,2026-03-10,2026-03-16,5,-0.01757152531917962,-0.011393105437406015,-0.0061784198817736065,37,0.027027027027027035,0.13513513513513517,0,0.825,0.17500000000000004,37,0.03,equal,True,3.0
short_aggressive_compact_capacity,w06,2026-03-09,2026-03-10,2026-03-16,5,-0.03316331832520366,-0.011393105437406015,-0.021770212887797645,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,9.0
short_aggressive_medium_capacity,w06,2026-03-09,2026-03-10,2026-03-16,5,-0.03316331832520366,-0.011393105437406015,-0.021770212887797645,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,9.0
short_aggressive_wide_capacity,w06,2026-03-09,2026-03-10,2026-03-16,5,-0.020252102132512304,-0.011393105437406015,-0.00885899669510629,30,0.036000000004219955,0.18000000002109978,0,0.5935,0.4065,30,0.036,rank,True,5.0
stable_compact_capacity,w06,2026-03-09,2026-03-10,2026-03-16,5,-0.007421409576637288,-0.011393105437406015,0.003971695860768727,33,0.030303030303030304,0.15151515151515152,0,0.978,0.02200000000000002,33,0.030303030303030304,equal,True,2.0
stable_compact_current,w06,2026-03-09,2026-03-10,2026-03-16,5,-0.021454272577333813,-0.011393105437406015,-0.010061167139927798,31,0.03253310000000001,0.16266550000000005,0,0.5465,0.4535,31,0.031758,rank,True,6.0
stable_extra_wide_capacity,w06,2026-03-09,2026-03-10,2026-03-16,5,-0.02592154938448434,-0.011393105437406015,-0.014528443947078324,46,0.02173913043478261,0.10869565217391305,0,0.285,0.7150000000000001,46,0.03,equal,False,8.0
stable_medium_capacity,w06,2026-03-09,2026-03-10,2026-03-16,5,-0.024791937779122874,-0.011393105437406015,-0.013398832341716859,93,0.01075268817204301,0.05376344086021505,0,0.7725,0.22750000000000004,93,0.03,equal,True,7.0
balanced_extra_wide_capacity,w07,2026-03-16,2026-03-17,2026-03-23,5,-0.11119455715869464,-0.09094602030603705,-0.020248536852657595,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,9.0
