strategy,mean_score_3713,std_score_3713,worst_score_3713,robust_score,legacy_mean_score_3713,legacy_std_score_3713,legacy_worst_score_3713,legacy_robust_score,avg_legacy_raw_score_3713,avg_mean_13w,worst_13w,avg_hit_13w,avg_mean_7w,worst_7w,avg_hit_7w,avg_mean_3w,worst_3w,avg_hit_3w,avg_holdings,min_holdings,max_holdings,alpha,requested_top_k,blend_source,is_grid,overall_rank,legacy_overall_rank
final_portfolio_a0.50_k59,0.5247045454545454,0.0993842350791981,0.4319848484848484,0.4391157431587468,0.529246212121212,0.0903886794512116,0.452530303030303,0.4481037456912424,0.0102753376144062,0.0087623371867716,-0.0299923407649946,0.5384615384615385,0.0150461715497457,-0.0276284076980741,0.6428571428571428,0.0302127181710246,0.0134256208505421,1.0,45.67307692307692,38,59,0.5,59,final_portfolio,True,41,41
final_portfolio_a0.50_k53,0.5232272727272727,0.1044195591336232,0.4041060606060606,0.4306822865108801,0.5261371212121212,0.0963113476542794,0.4219575757575757,0.4378473879618448,0.010240176457669,0.0087722313756446,-0.0299923407649946,0.5384615384615385,0.0150683455552228,-0.0276284076980741,0.6428571428571428,0.030029846494311,0.0134256208505421,1.0,45.46153846153846,38,53,0.5,53,final_portfolio,True,42,42
final_portfolio_a0.50_k50,0.5264469696969697,0.1163490681477997,0.3616818181818182,0.4209760780337049,0.5376837121212121,0.1168072803710266,0.3761848484848484,0.4318598969628973,0.0102255060253068,0.0087413911884664,-0.0299923407649946,0.5192307692307692,0.0150537330845828,-0.0276284076980741,0.6428571428571428,0.0300061584142468,0.0134256208505421,1.0,45.07692307692308,38,50,0.5,50,final_portfolio,True,44,43
final_portfolio_a0.55_k44,0.5472272727272728,0.160036488966531,0.3502878787878788,0.4272660480730438,0.5485462121212121,0.1794099462891601,0.348430303030303,0.4257216190074476,0.0102757565679606,0.0091978480700745,-0.0307268409194202,0.5384615384615384,0.0153794934583519,-0.0283425223351659,0.6428571428571428,0.0298278491113713,0.0126358349389244,1.0,43.21153846153846,38,44,0.55,44,final_portfolio,True,43,44
final_portfolio_a0.50_k47,0.5165984848484849,0.1398047325186773,0.3777424242424242,0.4162441479602535,0.5230405303030303,0.1526118018699395,0.3742484848484849,0.418277285722097,0.0101908833229374,0.0088296082710129,-0.0299923407649946,0.5192307692307692,0.0151404178097526,-0.0276284076980741,0.6428571428571428,0.029773631768612,0.0134256208505421,1.0,44.38461538461539,38,47,0.5,47,final_portfolio,True,45,45
final_portfolio_a0.55_k56,0.5119393939393939,0.1252750843667064,0.3643484848484848,0.4113202188360566,0.5133780303030303,0.1231857715106982,0.3788666666666667,0.4160938092125665,0.0101458569451697,0.0088810934471739,-0.0307268409194202,0.5384615384615384,0.015038819866902,-0.0283425223351659,0.6428571428571428,0.0300011193264964,0.0125278986538663,1.0,45.61538461538461,38,56,0.55,56,final_portfolio,True,46,46
final_portfolio_a0.55_k59,0.5108787878787879,0.1254987263918927,0.3643484848484848,0.4106084606941441,0.5123416666666667,0.1230451748200131,0.3788666666666667,0.4154342325179987,0.0101401360296842,0.0088709112940088,-0.0307268409194202,0.5384615384615384,0.0150199101538812,-0.0283425223351659,0.6428571428571428,0.0300011193264964,0.0125278986538663,1.0,45.67307692307692,38,59,0.55,59,final_portfolio,True,47,47
final_portfolio_a0.55_k53,0.509439393939394,0.1325035877158643,0.3358636363636363,0.4018511563799287,0.5109814393939394,0.129921440399041,0.3488121212121212,0.4063488218691867,0.0101070721276371,0.0088799938083294,-0.0307268409194202,0.5384615384615384,0.0150381489274061,-0.0283425223351659,0.6428571428571428,0.0298321776491688,0.0125278986538663,1.0,45.46153846153846,38,53,0.55,53,final_portfolio,True,48,48
final_portfolio_a0.55_k50,0.5060303030303029,0.1494108736330111,0.2843484848484848,0.385065730818517,0.5129200757575757,0.157304539227974,0.2874939393939393,0.3895410801681116,0.0100921538245317,0.0088529789377337,-0.0307268409194202,0.5192307692307693,0.015023066606849,-0.0283425223351659,0.6428571428571428,0.0298064965041603,0.0125278986538663,1.0,45.07692307692308,38,50,0.55,50,final_portfolio,True,55,49
final_portfolio_a0.50_k41,0.5348825757575757,0.2381541680436072,0.2619848484848485,0.3893544695592756,0.542180303030303,0.2566056071762609,0.2502121212121212,0.3893096665551012,0.0102648560844907,0.0095036880098993,-0.0287364935241592,0.5192307692307693,0.0154573014128227,-0.0276284076980741,0.6428571428571428,0.0300683423843415,0.0142954995136016,1.0,40.92307692307692,38,41,0.5,41,final_portfolio,True,51,50
